Date,Open,High,Low,Close,Adj Close,Volume
29-06-2010,1.2667,1.6667,1.1693,1.5927,23.889999,281494500
30-06-2010,1.7193,2.0279,1.5533,1.5887,23.83,257806500
01-07-2010,1.6667,1.728,1.3513,1.464,21.959999,123282000
02-07-2010,1.5333,1.54,1.2473,1.28,19.200001,77097000
06-07-2010,1.3333,1.3333,1.0553,1.074,16.110001,103003500
07-07-2010,1.0933,1.1087,0.9987,1.0533,15.8,103825500
08-07-2010,1.076,1.168,1.038,1.164,17.459999,115671000
09-07-2010,1.172,1.1933,1.1033,1.16,17.4,60759000
12-07-2010,1.1967,1.2047,1.1333,1.1367,17.049999,33037500
13-07-2010,1.1596,1.2427,1.1267,1.2093,18.139999,40201500
14-07-2010,1.196,1.3433,1.184,1.3227,19.84,62928000
15-07-2010,1.3293,1.4333,1.2667,1.326,19.889999,56097000
16-07-2010,1.38,1.42,1.3367,1.376,20.639999,39319500
19-07-2010,1.4247,1.4833,1.3947,1.4607,21.91,37297500
20-07-2010,1.4567,1.4567,1.3367,1.3533,20.299999,27379500
21-07-2010,1.3773,1.3933,1.3,1.348,20.219999,18787500
22-07-2010,1.3667,1.4167,1.358,1.4,21,14367000
23-07-2010,1.4127,1.4373,1.404,1.4193,21.290001,9804000
26-07-2010,1.4333,1.4333,1.3533,1.3967,20.950001,13833000
27-07-2010,1.394,1.412,1.3507,1.37,20.549999,9295500
28-07-2010,1.37,1.3933,1.3673,1.3813,20.719999,7008000
29-07-2010,1.3847,1.392,1.3333,1.3567,20.35,9240000
30-07-2010,1.3467,1.3627,1.3033,1.3293,19.940001,6403500
02-08-2010,1.3667,1.398,1.3555,1.3947,20.92,10771500
03-08-2010,1.4,1.4633,1.388,1.4633,21.950001,18457500
04-08-2010,1.4633,1.4787,1.39,1.4173,21.26,13695000
05-08-2010,1.436,1.4367,1.3367,1.3633,20.450001,11943000
06-08-2010,1.34,1.344,1.3013,1.306,19.59,11128500
09-08-2010,1.3267,1.332,1.2967,1.3067,19.6,12190500
10-08-2010,1.31,1.31,1.2547,1.2687,19.030001,19219500
11-08-2010,1.246,1.2587,1.19,1.1933,17.9,11964000
12-08-2010,1.1867,1.1933,1.1593,1.1733,17.6,10365000
13-08-2010,1.212,1.23,1.1774,1.2213,18.32,9510000
16-08-2010,1.23,1.2533,1.2174,1.252,18.780001,7287000
17-08-2010,1.264,1.2933,1.252,1.2767,19.15,6718500
18-08-2010,1.306,1.306,1.24,1.2513,18.77,9019500
19-08-2010,1.236,1.2833,1.222,1.2527,18.790001,8686500
20-08-2010,1.2433,1.274,1.234,1.2733,19.1,4440000
23-08-2010,1.2727,1.3593,1.2667,1.342,20.129999,16321500
24-08-2010,1.2833,1.314,1.2633,1.28,19.200001,10096500
25-08-2010,1.2773,1.332,1.2373,1.3267,19.9,7549500
26-08-2010,1.326,1.3513,1.3067,1.3167,19.75,6507000
27-08-2010,1.3167,1.3243,1.3,1.3133,19.700001,5694000
30-08-2010,1.3133,1.346,1.3073,1.3247,19.870001,10992000
31-08-2010,1.3107,1.3193,1.2887,1.2987,19.48,3016500
01-09-2010,1.308,1.3793,1.3067,1.3633,20.450001,7423500
02-09-2010,1.358,1.416,1.354,1.404,21.059999,7306500
03-09-2010,1.3913,1.42,1.3773,1.4033,21.049999,6519000
07-09-2010,1.374,1.4,1.3667,1.3693,20.540001,3651000
08-09-2010,1.3773,1.3967,1.3733,1.3933,20.9,4326000
09-09-2010,1.4,1.4033,1.3793,1.3807,20.709999,5643000
10-09-2010,1.3833,1.3953,1.3173,1.3447,20.17,5799000
13-09-2010,1.3927,1.3933,1.3667,1.3813,20.719999,5412000
14-09-2010,1.3693,1.44,1.3687,1.408,21.120001,9820500
15-09-2010,1.3987,1.4667,1.386,1.4653,21.98,10269000
16-09-2010,1.4767,1.544,1.3893,1.396,20.940001,40267500
17-09-2010,1.4013,1.4213,1.32,1.3487,20.23,17977500
20-09-2010,1.378,1.4233,1.344,1.4037,21.059999,14212500
21-09-2010,1.3927,1.4367,1.378,1.3847,20.77,11940000
22-09-2010,1.3913,1.3967,1.32,1.3247,19.870001,14443500
23-09-2010,1.326,1.3427,1.3,1.304,19.559999,10021500
24-09-2010,1.33,1.346,1.31,1.34,20.1,8683500
27-09-2010,1.36,1.3873,1.3367,1.3687,20.530001,6279000
28-09-2010,1.4027,1.4327,1.384,1.4267,21.4,18217500
29-09-2010,1.4127,1.4687,1.4087,1.4653,21.98,29539500
30-09-2010,1.4667,1.4767,1.346,1.3603,20.41,32937000
01-10-2010,1.3793,1.3833,1.354,1.3733,20.6,8965500
04-10-2010,1.362,1.4113,1.3533,1.3993,20.99,9654000
05-10-2010,1.41,1.4187,1.4007,1.408,21.120001,4980000
06-10-2010,1.404,1.4172,1.3547,1.364,20.459999,4701000
07-10-2010,1.3713,1.376,1.356,1.362,20.43,2115000
08-10-2010,1.362,1.386,1.3593,1.362,20.43,4017000
11-10-2010,1.3627,1.3799,1.338,1.3493,20.24,2568000
12-10-2010,1.3467,1.3522,1.3353,1.3493,20.24,3660000
13-10-2010,1.376,1.39,1.3573,1.3693,20.540001,4773000
14-10-2010,1.4,1.402,1.36,1.3833,20.75,4422000
15-10-2010,1.3927,1.3933,1.35,1.3693,20.540001,4270500
18-10-2010,1.368,1.376,1.348,1.3487,20.23,2442000
19-10-2010,1.3467,1.3604,1.3333,1.3367,20.049999,3678000
20-10-2010,1.344,1.3793,1.336,1.3767,20.65,4687500
21-10-2010,1.374,1.3967,1.3633,1.3833,20.75,6256500
22-10-2010,1.3787,1.3953,1.37,1.3813,20.719999,2416500
25-10-2010,1.396,1.3987,1.382,1.39,20.85,1777500
26-10-2010,1.3867,1.458,1.3673,1.424,21.360001,9913500
27-10-2010,1.4167,1.4253,1.3767,1.4,21,5347500
28-10-2010,1.426,1.4333,1.3973,1.4127,21.190001,3363000
29-10-2010,1.4093,1.4567,1.4035,1.456,21.84,4209000
01-11-2010,1.4627,1.5167,1.4207,1.4273,21.41,6837000
02-11-2010,1.4453,1.4586,1.4033,1.4167,21.25,4837500
03-11-2010,1.4187,1.5,1.4107,1.4513,21.77,5589000
04-11-2010,1.5067,1.6887,1.4767,1.66,24.9,28110000
05-11-2010,1.658,1.6647,1.5813,1.6293,24.440001,15165000
08-11-2010,1.6333,1.6667,1.602,1.6653,24.98,7642500
09-11-2010,1.6667,1.7127,1.6033,1.642,24.629999,14346000
10-11-2010,1.632,1.998,1.6033,1.9573,29.360001,45907500
11-11-2010,1.9067,1.94,1.822,1.869,28.040001,29179500
12-11-2010,1.8833,2.0333,1.8713,1.9893,29.84,40936500
15-11-2010,2.0147,2.196,2.0147,2.0533,30.799999,39343500
16-11-2010,2.0667,2.0933,1.8947,1.978,29.67,20214000
17-11-2010,2.0133,2.05,1.9073,1.966,29.49,11250000
18-11-2010,2.0447,2.0493,1.928,1.9927,29.889999,14341500
19-11-2010,2.0107,2.0913,1.98,2.066,30.99,17257500
22-11-2010,2.1047,2.23,2.1,2.2267,33.400002,22945500
23-11-2010,2.2193,2.3787,2.146,2.3047,34.57,23667000
24-11-2010,2.3513,2.398,2.2889,2.3647,35.470001,21375000
26-11-2010,2.3733,2.4,2.3167,2.3547,35.32,5259000
29-11-2010,2.3608,2.3967,2.222,2.2887,34.330002,17184000
30-11-2010,2.2493,2.3553,2.2273,2.3553,35.330002,33339000
01-12-2010,2.3913,2.428,2.23,2.29,34.349998,19488000
02-12-2010,2.2673,2.2865,2.08,2.1567,32.349998,30105000
03-12-2010,2.134,2.15,2.058,2.0993,31.49,17401500
06-12-2010,2.09,2.0967,1.9707,2.0207,30.309999,19116000
07-12-2010,2.0327,2.16,2.0033,2.104,31.559999,19669500
08-12-2010,2.1653,2.166,2.1013,2.158,32.369999,9900000
09-12-2010,2.1673,2.1813,2.11,2.1367,32.049999,6090000
10-12-2010,2.1367,2.1947,2.0753,2.1013,31.52,6441000
13-12-2010,2.1093,2.118,2.0267,2.0367,30.549999,6156000
14-12-2010,2.0193,2.026,1.8507,1.902,28.530001,26485500
15-12-2010,1.9113,1.998,1.902,1.9733,29.6,11143500
16-12-2010,2,2.0607,1.9767,2.054,30.809999,11851500
17-12-2010,2.0893,2.1027,2.0473,2.0907,31.360001,12195000
20-12-2010,2.1093,2.146,2.084,2.1133,31.700001,7851000
21-12-2010,2.12,2.1793,2.114,2.1507,32.259998,11665500
22-12-2010,2.15,2.1907,2.1133,2.1753,32.630001,12499500
23-12-2010,2.084,2.1653,1.9947,2.006,30.09,23289000
27-12-2010,1.868,1.9053,1.6707,1.7033,25.549999,139528500
28-12-2010,1.7233,1.7833,1.6667,1.7607,26.41,60844500
29-12-2010,1.802,1.8673,1.7667,1.8487,27.73,49788000
30-12-2010,1.8467,1.86,1.7587,1.7667,26.5,30616500
31-12-2010,1.7713,1.8167,1.7667,1.7753,26.629999,21268500
03-01-2011,1.7893,1.8,1.7267,1.7747,26.620001,19245000
04-01-2011,1.7773,1.7967,1.7347,1.778,26.67,17811000
05-01-2011,1.7653,1.7933,1.746,1.7887,26.83,21700500
06-01-2011,1.7887,1.8667,1.7873,1.8587,27.879999,30918000
07-01-2011,1.8667,1.9053,1.86,1.8827,28.24,33718500
10-01-2011,1.878,1.912,1.87,1.8967,28.450001,20140500
11-01-2011,1.906,1.914,1.7947,1.7973,26.959999,25653000
12-01-2011,1.8007,1.8266,1.768,1.7973,26.959999,14466000
13-01-2011,1.7973,1.798,1.744,1.748,26.219999,10854000
14-01-2011,1.7433,1.772,1.7073,1.7167,25.75,17880000
18-01-2011,1.6987,1.7093,1.65,1.7093,25.639999,24325500
19-01-2011,1.6847,1.698,1.5833,1.602,24.030001,35572500
20-01-2011,1.602,1.63,1.4913,1.508,22.620001,34198500
21-01-2011,1.5413,1.5727,1.514,1.536,23.040001,18255000
24-01-2011,1.5687,1.654,1.5487,1.6327,24.49,24676500
25-01-2011,1.6433,1.6593,1.6013,1.6453,24.68,19072500
26-01-2011,1.6473,1.6587,1.6067,1.65,24.75,16198500
27-01-2011,1.6493,1.672,1.6353,1.6613,24.92,13435500
28-01-2011,1.6587,1.6587,1.5833,1.6007,24.01,15726000
31-01-2011,1.6033,1.608,1.5667,1.6067,24.1,12454500
01-02-2011,1.6207,1.6487,1.5693,1.594,23.91,10617000
02-02-2011,1.6107,1.612,1.5779,1.596,23.940001,8542500
03-02-2011,1.588,1.5933,1.5433,1.5753,23.629999,7680000
